,index,Gebiet,Total,Jahr
0,9,Kreis 1,5817,2021
1,10,Rathaus,3275,2021
2,11,Hochschulen,701,2021
3,12,Lindenhof,1024,2021
4,13,City,817,2021
5,14,Kreis 2,36025,2021
6,15,Wollishofen,19937,2021
7,16,Leimbach,6338,2021
8,17,Enge,9750,2021
9,18,Kreis 3,50104,2021
10,19,Alt-Wiedikon,17631,2021
11,20,Friesenberg,10957,2021
12,21,Sihlfeld,21516,2021
13,22,Kreis 4,29023,2021
14,23,Werd,4574,2021
15,24,Langstrasse,11815,2021
16,25,Hard,12634,2021
17,26,Kreis 5,15804,2021
18,27,Gewerbeschule,9583,2021
19,28,Escher Wyss,6221,2021
20,29,Kreis 6,35355,2021
21,30,Unterstrass,24489,2021
22,31,Oberstrass,10866,2021
23,32,Kreis 7,38663,2021
24,33,Fluntern,8777,2021
25,34,Hottingen,11293,2021
26,35,Hirslanden,7338,2021
27,36,Witikon,11255,2021
28,37,Kreis 8,17818,2021
29,38,Seefeld,5862,2021
30,39,Mühlebach,6408,2021
31,40,Weinegg,5548,2021
32,41,Kreis 9,57077,2021
33,42,Albisrieden,22412,2021
34,43,Altstetten,34665,2021
35,44,Kreis 10,41017,2021
36,45,Höngg,24510,2021
37,46,Wipkingen,16507,2021
38,47,Kreis 11,76975,2021
39,48,Affoltern,26554,2021
40,49,Oerlikon,23880,2021
41,50,Seebach,26541,2021
42,51,Kreis 12,32654,2021
43,52,Saatlen,8788,2021
44,53,Schwamendingen-Mitte,10975,2021
45,54,Hirzenbach,12891,2021
46,9,Kreis 1,5831,2020
47,10,Rathaus,3317,2020
48,11,Hochschulen,675,2020
49,12,Lindenhof,1010,2020
50,13,City,829,2020
51,14,Kreis 2,35552,2020
52,15,Wollishofen,19757,2020
53,16,Leimbach,6140,2020
54,17,Enge,9655,2020
55,18,Kreis 3,50756,2020
56,19,Alt-Wiedikon,17764,2020
57,20,Friesenberg,11071,2020
58,21,Sihlfeld,21921,2020
59,22,Kreis 4,29034,2020
60,23,Werd,4570,2020
61,24,Langstrasse,11910,2020
62,25,Hard,12554,2020
63,26,Kreis 5,15622,2020
64,27,Gewerbeschule,9424,2020
65,28,Escher Wyss,6198,2020
66,29,Kreis 6,35317,2020
67,30,Unterstrass,24493,2020
68,31,Oberstrass,10824,2020
69,32,Kreis 7,38629,2020
70,33,Fluntern,8685,2020
71,34,Hottingen,11304,2020
72,35,Hirslanden,7396,2020
73,36,Witikon,11244,2020
74,37,Kreis 8,17456,2020
75,38,Seefeld,5480,2020
76,39,Mühlebach,6414,2020
77,40,Weinegg,5562,2020
78,41,Kreis 9,56462,2020
79,42,Albisrieden,22364,2020
80,43,Altstetten,34098,2020
81,44,Kreis 10,41044,2020
82,45,Höngg,24439,2020
83,46,Wipkingen,16605,2020
84,47,Kreis 11,76188,2020
85,48,Affoltern,26584,2020
86,49,Oerlikon,23548,2020
87,50,Seebach,26056,2020
88,51,Kreis 12,32845,2020
89,52,Saatlen,8799,2020
90,53,Schwamendingen-Mitte,11083,2020
91,54,Hirzenbach,12963,2020
92,9,Kreis 1,5791,2019
93,10,Rathaus,3307,2019
94,11,Hochschulen,678,2019
95,12,Lindenhof,1009,2019
96,13,City,797,2019
97,14,Kreis 2,35035,2019
98,15,Wollishofen,19225,2019
99,16,Leimbach,6152,2019
100,17,Enge,9658,2019
101,18,Kreis 3,51122,2019
102,19,Alt-Wiedikon,17874,2019
103,20,Friesenberg,11107,2019
104,21,Sihlfeld,22141,2019
105,22,Kreis 4,29368,2019
106,23,Werd,4455,2019
107,24,Langstrasse,11853,2019
108,25,Hard,13060,2019
109,26,Kreis 5,15750,2019
110,27,Gewerbeschule,9562,2019
111,28,Escher Wyss,6188,2019
112,29,Kreis 6,34794,2019
113,30,Unterstrass,23971,2019
114,31,Oberstrass,10823,2019
115,32,Kreis 7,38584,2019
116,33,Fluntern,8639,2019
117,34,Hottingen,11388,2019
118,35,Hirslanden,7503,2019
119,36,Witikon,11054,2019
120,37,Kreis 8,17060,2019
121,38,Seefeld,5319,2019
122,39,Mühlebach,6327,2019
123,40,Weinegg,5414,2019
124,41,Kreis 9,56637,2019
125,42,Albisrieden,22352,2019
126,43,Altstetten,34285,2019
127,44,Kreis 10,40832,2019
128,45,Höngg,24358,2019
129,46,Wipkingen,16474,2019
130,47,Kreis 11,75804,2019
131,48,Affoltern,26710,2019
132,49,Oerlikon,23288,2019
133,50,Seebach,25806,2019
134,51,Kreis 12,33231,2019
135,52,Saatlen,8841,2019
136,53,Schwamendingen-Mitte,11261,2019
137,54,Hirzenbach,13129,2019
138,9,Kreis 1,5750,2018
139,10,Rathaus,3267,2018
140,11,Hochschulen,664,2018
141,12,Lindenhof,990,2018
142,13,City,829,2018
143,14,Kreis 2,34877,2018
144,15,Wollishofen,18923,2018
145,16,Leimbach,6320,2018
146,17,Enge,9634,2018
147,18,Kreis 3,50569,2018
148,19,Alt-Wiedikon,17956,2018
149,20,Friesenberg,10933,2018
150,21,Sihlfeld,21680,2018
151,22,Kreis 4,28729,2018
152,23,Werd,4455,2018
153,24,Langstrasse,11111,2018
154,25,Hard,13163,2018
155,26,Kreis 5,15579,2018
156,27,Gewerbeschule,9513,2018
157,28,Escher Wyss,6066,2018
158,29,Kreis 6,34321,2018
159,30,Unterstrass,23394,2018
160,31,Oberstrass,10927,2018
161,32,Kreis 7,38191,2018
162,33,Fluntern,8485,2018
163,34,Hottingen,11265,2018
164,35,Hirslanden,7488,2018
165,36,Witikon,10953,2018
166,37,Kreis 8,16788,2018
167,38,Seefeld,5253,2018
168,39,Mühlebach,6315,2018
169,40,Weinegg,5220,2018
170,41,Kreis 9,55765,2018
171,42,Albisrieden,22304,2018
172,43,Altstetten,33461,2018
173,44,Kreis 10,40341,2018
174,45,Höngg,24020,2018
175,46,Wipkingen,16321,2018
176,47,Kreis 11,75344,2018
177,48,Affoltern,26562,2018
178,49,Oerlikon,23214,2018
179,50,Seebach,25568,2018
180,51,Kreis 12,32483,2018
181,52,Saatlen,8582,2018
182,53,Schwamendingen-Mitte,11100,2018
183,54,Hirzenbach,12801,2018
184,9,Kreis 1,5728,2017
185,10,Rathaus,3266,2017
186,11,Hochschulen,677,2017
187,12,Lindenhof,955,2017
188,13,City,830,2017
189,14,Kreis 2,33593,2017
190,15,Wollishofen,17892,2017
191,16,Leimbach,6212,2017
192,17,Enge,9489,2017
193,18,Kreis 3,50042,2017
194,19,Alt-Wiedikon,17522,2017
195,20,Friesenberg,10860,2017
196,21,Sihlfeld,21660,2017
197,22,Kreis 4,28775,2017
198,23,Werd,4574,2017
199,24,Langstrasse,11144,2017
200,25,Hard,13057,2017
201,26,Kreis 5,15666,2017
202,27,Gewerbeschule,9578,2017
203,28,Escher Wyss,6088,2017
204,29,Kreis 6,33614,2017
205,30,Unterstrass,22768,2017
206,31,Oberstrass,10846,2017
207,32,Kreis 7,37458,2017
208,33,Fluntern,8221,2017
209,34,Hottingen,11172,2017
210,35,Hirslanden,7465,2017
211,36,Witikon,10600,2017
212,37,Kreis 8,16541,2017
213,38,Seefeld,5129,2017
214,39,Mühlebach,6164,2017
215,40,Weinegg,5248,2017
216,41,Kreis 9,54716,2017
217,42,Albisrieden,22113,2017
218,43,Altstetten,32603,2017
219,44,Kreis 10,40341,2017
220,45,Höngg,23797,2017
221,46,Wipkingen,16544,2017
222,47,Kreis 11,74809,2017
223,48,Affoltern,26177,2017
224,49,Oerlikon,22815,2017
225,50,Seebach,25817,2017
226,51,Kreis 12,32027,2017
227,52,Saatlen,8388,2017
228,53,Schwamendingen-Mitte,11012,2017
229,54,Hirzenbach,12627,2017
230,9,Kreis 1,5648,2016
231,10,Rathaus,3226,2016
232,11,Hochschulen,640,2016
233,12,Lindenhof,972,2016
234,13,City,810,2016
235,14,Kreis 2,32162,2016
236,15,Wollishofen,16567,2016
237,16,Leimbach,6173,2016
238,17,Enge,9422,2016
239,18,Kreis 3,49500,2016
240,19,Alt-Wiedikon,17321,2016
241,20,Friesenberg,11002,2016
242,21,Sihlfeld,21177,2016
243,22,Kreis 4,28630,2016
244,23,Werd,4594,2016
245,24,Langstrasse,11145,2016
246,25,Hard,12891,2016
247,26,Kreis 5,15423,2016
248,27,Gewerbeschule,9598,2016
249,28,Escher Wyss,5825,2016
250,29,Kreis 6,33270,2016
251,30,Unterstrass,22476,2016
252,31,Oberstrass,10794,2016
253,32,Kreis 7,37139,2016
254,33,Fluntern,8038,2016
255,34,Hottingen,11113,2016
256,35,Hirslanden,7321,2016
257,36,Witikon,10667,2016
258,37,Kreis 8,16213,2016
259,38,Seefeld,5046,2016
260,39,Mühlebach,6137,2016
261,40,Weinegg,5030,2016
262,41,Kreis 9,52898,2016
263,42,Albisrieden,21174,2016
264,43,Altstetten,31724,2016
265,44,Kreis 10,39564,2016
266,45,Höngg,23423,2016
267,46,Wipkingen,16141,2016
268,47,Kreis 11,73413,2016
269,48,Affoltern,26054,2016
270,49,Oerlikon,22161,2016
271,50,Seebach,25198,2016
272,51,Kreis 12,31822,2016
273,52,Saatlen,8283,2016
274,53,Schwamendingen-Mitte,11076,2016
275,54,Hirzenbach,12463,2016
276,9,Kreis 1,5617,2015
277,10,Rathaus,3197,2015
278,11,Hochschulen,641,2015
279,12,Lindenhof,974,2015
280,13,City,805,2015
281,14,Kreis 2,31603,2015
282,15,Wollishofen,16244,2015
283,16,Leimbach,6102,2015
284,17,Enge,9257,2015
285,18,Kreis 3,49195,2015
286,19,Alt-Wiedikon,17158,2015
287,20,Friesenberg,10698,2015
288,21,Sihlfeld,21339,2015
289,22,Kreis 4,28701,2015
290,23,Werd,4460,2015
291,24,Langstrasse,11169,2015
292,25,Hard,13072,2015
293,26,Kreis 5,15065,2015
294,27,Gewerbeschule,9608,2015
295,28,Escher Wyss,5457,2015
296,29,Kreis 6,32867,2015
297,30,Unterstrass,22226,2015
298,31,Oberstrass,10641,2015
299,32,Kreis 7,37053,2015
300,33,Fluntern,7953,2015
301,34,Hottingen,11081,2015
302,35,Hirslanden,7380,2015
303,36,Witikon,10639,2015
304,37,Kreis 8,16192,2015
305,38,Seefeld,4990,2015
306,39,Mühlebach,6116,2015
307,40,Weinegg,5086,2015
308,41,Kreis 9,51328,2015
309,42,Albisrieden,19325,2015
310,43,Altstetten,32003,2015
311,44,Kreis 10,38199,2015
312,45,Höngg,22320,2015
313,46,Wipkingen,15879,2015
314,47,Kreis 11,72831,2015
315,48,Affoltern,25874,2015
316,49,Oerlikon,21966,2015
317,50,Seebach,24991,2015
318,51,Kreis 12,31753,2015
319,52,Saatlen,8508,2015
320,53,Schwamendingen-Mitte,11315,2015
321,54,Hirzenbach,11930,2015
322,9,Kreis 1,5616,2014
323,10,Rathaus,3236,2014
324,11,Hochschulen,634,2014
325,12,Lindenhof,955,2014
326,13,City,791,2014
327,14,Kreis 2,31156,2014
328,15,Wollishofen,16137,2014
329,16,Leimbach,5936,2014
330,17,Enge,9083,2014
331,18,Kreis 3,48808,2014
332,19,Alt-Wiedikon,16918,2014
333,20,Friesenberg,10695,2014
334,21,Sihlfeld,21195,2014
335,22,Kreis 4,28645,2014
336,23,Werd,4428,2014
337,24,Langstrasse,10985,2014
338,25,Hard,13232,2014
339,26,Kreis 5,14143,2014
340,27,Gewerbeschule,9539,2014
341,28,Escher Wyss,4604,2014
342,29,Kreis 6,32682,2014
343,30,Unterstrass,22126,2014
344,31,Oberstrass,10556,2014
345,32,Kreis 7,36556,2014
346,33,Fluntern,7865,2014
347,34,Hottingen,10882,2014
348,35,Hirslanden,7403,2014
349,36,Witikon,10406,2014
350,37,Kreis 8,16178,2014
351,38,Seefeld,5035,2014
352,39,Mühlebach,6107,2014
353,40,Weinegg,5036,2014
354,41,Kreis 9,50685,2014
355,42,Albisrieden,19199,2014
356,43,Altstetten,31486,2014
357,44,Kreis 10,37543,2014
358,45,Höngg,21826,2014
359,46,Wipkingen,15717,2014
360,47,Kreis 11,72228,2014
361,48,Affoltern,25902,2014
362,49,Oerlikon,21895,2014
363,50,Seebach,24431,2014
364,51,Kreis 12,30543,2014
365,52,Saatlen,7563,2014
366,53,Schwamendingen-Mitte,11301,2014
367,54,Hirzenbach,11679,2014
368,9,Kreis 1,5565,2013
369,10,Rathaus,3194,2013
370,11,Hochschulen,665,2013
371,12,Lindenhof,923,2013
372,13,City,783,2013
373,14,Kreis 2,30503,2013
374,15,Wollishofen,15937,2013
375,16,Leimbach,5730,2013
376,17,Enge,8836,2013
377,18,Kreis 3,48333,2013
378,19,Alt-Wiedikon,16706,2013
379,20,Friesenberg,10696,2013
380,21,Sihlfeld,20931,2013
381,22,Kreis 4,28115,2013
382,23,Werd,4188,2013
383,24,Langstrasse,10686,2013
384,25,Hard,13241,2013
385,26,Kreis 5,13636,2013
386,27,Gewerbeschule,9626,2013
387,28,Escher Wyss,4010,2013
388,29,Kreis 6,32328,2013
389,30,Unterstrass,21876,2013
390,31,Oberstrass,10452,2013
391,32,Kreis 7,36116,2013
392,33,Fluntern,7856,2013
393,34,Hottingen,10708,2013
394,35,Hirslanden,7285,2013
395,36,Witikon,10267,2013
396,37,Kreis 8,15912,2013
397,38,Seefeld,4978,2013
398,39,Mühlebach,5912,2013
399,40,Weinegg,5022,2013
400,41,Kreis 9,50261,2013
401,42,Albisrieden,19146,2013
402,43,Altstetten,31115,2013
403,44,Kreis 10,37416,2013
404,45,Höngg,21581,2013
405,46,Wipkingen,15835,2013
406,47,Kreis 11,70748,2013
407,48,Affoltern,25082,2013
408,49,Oerlikon,21658,2013
409,50,Seebach,24008,2013
410,51,Kreis 12,29642,2013
411,52,Saatlen,7280,2013
412,53,Schwamendingen-Mitte,11209,2013
413,54,Hirzenbach,11153,2013
414,9,Kreis 1,5571,2012
415,10,Rathaus,3164,2012
416,11,Hochschulen,673,2012
417,12,Lindenhof,935,2012
418,13,City,799,2012
419,14,Kreis 2,30085,2012
420,15,Wollishofen,16029,2012
421,16,Leimbach,5354,2012
422,17,Enge,8702,2012
423,18,Kreis 3,47926,2012
424,19,Alt-Wiedikon,16109,2012
425,20,Friesenberg,10986,2012
426,21,Sihlfeld,20831,2012
427,22,Kreis 4,27749,2012
428,23,Werd,4195,2012
429,24,Langstrasse,10560,2012
430,25,Hard,12994,2012
431,26,Kreis 5,13167,2012
432,27,Gewerbeschule,9824,2012
433,28,Escher Wyss,3343,2012
434,29,Kreis 6,31750,2012
435,30,Unterstrass,21442,2012
436,31,Oberstrass,10308,2012
437,32,Kreis 7,35603,2012
438,33,Fluntern,7779,2012
439,34,Hottingen,10447,2012
440,35,Hirslanden,7131,2012
441,36,Witikon,10246,2012
442,37,Kreis 8,15444,2012
443,38,Seefeld,4916,2012
444,39,Mühlebach,5745,2012
445,40,Weinegg,4783,2012
446,41,Kreis 9,50437,2012
447,42,Albisrieden,18999,2012
448,43,Altstetten,31438,2012
449,44,Kreis 10,37328,2012
450,45,Höngg,21537,2012
451,46,Wipkingen,15791,2012
452,47,Kreis 11,69496,2012
453,48,Affoltern,24855,2012
454,49,Oerlikon,21331,2012
455,50,Seebach,23310,2012
456,51,Kreis 12,29456,2012
457,52,Saatlen,7118,2012
458,53,Schwamendingen-Mitte,10934,2012
459,54,Hirzenbach,11404,2012
460,9,Kreis 1,5550,2011
461,10,Rathaus,3140,2011
462,11,Hochschulen,681,2011
463,12,Lindenhof,950,2011
464,13,City,779,2011
465,14,Kreis 2,30079,2011
466,15,Wollishofen,16055,2011
467,16,Leimbach,5340,2011
468,17,Enge,8684,2011
469,18,Kreis 3,46943,2011
470,19,Alt-Wiedikon,16014,2011
471,20,Friesenberg,10622,2011
472,21,Sihlfeld,20307,2011
473,22,Kreis 4,27453,2011
474,23,Werd,4189,2011
475,24,Langstrasse,10520,2011
476,25,Hard,12744,2011
477,26,Kreis 5,12924,2011
478,27,Gewerbeschule,9795,2011
479,28,Escher Wyss,3129,2011
480,29,Kreis 6,31556,2011
481,30,Unterstrass,21240,2011
482,31,Oberstrass,10316,2011
483,32,Kreis 7,35616,2011
484,33,Fluntern,7873,2011
485,34,Hottingen,10461,2011
486,35,Hirslanden,7024,2011
487,36,Witikon,10258,2011
488,37,Kreis 8,15501,2011
489,38,Seefeld,4908,2011
490,39,Mühlebach,5651,2011
491,40,Weinegg,4942,2011
492,41,Kreis 9,49813,2011
493,42,Albisrieden,18432,2011
494,43,Altstetten,31381,2011
495,44,Kreis 10,37192,2011
496,45,Höngg,21323,2011
497,46,Wipkingen,15869,2011
498,47,Kreis 11,67945,2011
499,48,Affoltern,24437,2011
500,49,Oerlikon,21253,2011
501,50,Seebach,22255,2011
502,51,Kreis 12,29510,2011
503,52,Saatlen,7131,2011
504,53,Schwamendingen-Mitte,10863,2011
505,54,Hirzenbach,11516,2011
506,9,Kreis 1,5563,2010
507,10,Rathaus,3099,2010
508,11,Hochschulen,678,2010
509,12,Lindenhof,951,2010
510,13,City,835,2010
511,14,Kreis 2,29878,2010
512,15,Wollishofen,15988,2010
513,16,Leimbach,5293,2010
514,17,Enge,8597,2010
515,18,Kreis 3,46699,2010
516,19,Alt-Wiedikon,15988,2010
517,20,Friesenberg,10596,2010
518,21,Sihlfeld,20115,2010
519,22,Kreis 4,27429,2010
520,23,Werd,4167,2010
521,24,Langstrasse,10379,2010
522,25,Hard,12883,2010
523,26,Kreis 5,12764,2010
524,27,Gewerbeschule,9688,2010
525,28,Escher Wyss,3076,2010
526,29,Kreis 6,31464,2010
527,30,Unterstrass,21233,2010
528,31,Oberstrass,10231,2010
529,32,Kreis 7,35447,2010
530,33,Fluntern,7637,2010
531,34,Hottingen,10570,2010
532,35,Hirslanden,6998,2010
533,36,Witikon,10242,2010
534,37,Kreis 8,15518,2010
535,38,Seefeld,4840,2010
536,39,Mühlebach,5679,2010
537,40,Weinegg,4999,2010
538,41,Kreis 9,48494,2010
539,42,Albisrieden,17835,2010
540,43,Altstetten,30659,2010
541,44,Kreis 10,36879,2010
542,45,Höngg,21179,2010
543,46,Wipkingen,15700,2010
544,47,Kreis 11,65796,2010
545,48,Affoltern,22972,2010
546,49,Oerlikon,20787,2010
547,50,Seebach,22037,2010
548,51,Kreis 12,29537,2010
549,52,Saatlen,7175,2010
550,53,Schwamendingen-Mitte,10903,2010
551,54,Hirzenbach,11459,2010
552,9,Kreis 1,5576,2009
553,10,Rathaus,3110,2009
554,11,Hochschulen,673,2009
555,12,Lindenhof,940,2009
556,13,City,853,2009
557,14,Kreis 2,29809,2009
558,15,Wollishofen,15854,2009
559,16,Leimbach,5287,2009
560,17,Enge,8668,2009
561,18,Kreis 3,46971,2009
562,19,Alt-Wiedikon,15504,2009
563,20,Friesenberg,11003,2009
564,21,Sihlfeld,20464,2009
565,22,Kreis 4,27398,2009
566,23,Werd,4104,2009
567,24,Langstrasse,10392,2009
568,25,Hard,12902,2009
569,26,Kreis 5,12777,2009
570,27,Gewerbeschule,9717,2009
571,28,Escher Wyss,3060,2009
572,29,Kreis 6,31131,2009
573,30,Unterstrass,21080,2009
574,31,Oberstrass,10051,2009
575,32,Kreis 7,35362,2009
576,33,Fluntern,7528,2009
577,34,Hottingen,10594,2009
578,35,Hirslanden,6956,2009
579,36,Witikon,10284,2009
580,37,Kreis 8,15212,2009
581,38,Seefeld,4732,2009
582,39,Mühlebach,5545,2009
583,40,Weinegg,4935,2009
584,41,Kreis 9,47520,2009
585,42,Albisrieden,17675,2009
586,43,Altstetten,29845,2009
587,44,Kreis 10,36939,2009
588,45,Höngg,21294,2009
589,46,Wipkingen,15645,2009
590,47,Kreis 11,64612,2009
591,48,Affoltern,22383,2009
592,49,Oerlikon,20740,2009
593,50,Seebach,21489,2009
594,51,Kreis 12,29599,2009
595,52,Saatlen,7132,2009
596,53,Schwamendingen-Mitte,10857,2009
597,54,Hirzenbach,11610,2009
598,9,Kreis 1,5536,2008
599,10,Rathaus,3051,2008
600,11,Hochschulen,702,2008
601,12,Lindenhof,940,2008
602,13,City,843,2008
603,14,Kreis 2,29531,2008
604,15,Wollishofen,15794,2008
605,16,Leimbach,5185,2008
606,17,Enge,8552,2008
607,18,Kreis 3,46595,2008
608,19,Alt-Wiedikon,15727,2008
609,20,Friesenberg,10325,2008
610,21,Sihlfeld,20543,2008
611,22,Kreis 4,27354,2008
612,23,Werd,4015,2008
613,24,Langstrasse,10455,2008
614,25,Hard,12884,2008
615,26,Kreis 5,12722,2008
616,27,Gewerbeschule,9751,2008
617,28,Escher Wyss,2971,2008
618,29,Kreis 6,30757,2008
619,30,Unterstrass,20655,2008
620,31,Oberstrass,10102,2008
621,32,Kreis 7,35240,2008
622,33,Fluntern,7542,2008
623,34,Hottingen,10548,2008
624,35,Hirslanden,6967,2008
625,36,Witikon,10183,2008
626,37,Kreis 8,15315,2008
627,38,Seefeld,4863,2008
628,39,Mühlebach,5491,2008
629,40,Weinegg,4961,2008
630,41,Kreis 9,47295,2008
631,42,Albisrieden,17555,2008
632,43,Altstetten,29740,2008
633,44,Kreis 10,36686,2008
634,45,Höngg,21186,2008
635,46,Wipkingen,15500,2008
636,47,Kreis 11,64283,2008
637,48,Affoltern,22044,2008
638,49,Oerlikon,20853,2008
639,50,Seebach,21386,2008
640,51,Kreis 12,29185,2008
641,52,Saatlen,6843,2008
642,53,Schwamendingen-Mitte,10864,2008
643,54,Hirzenbach,11478,2008
644,9,Kreis 1,5607,2007
645,10,Rathaus,3079,2007
646,11,Hochschulen,698,2007
647,12,Lindenhof,954,2007
648,13,City,876,2007
649,14,Kreis 2,29421,2007
650,15,Wollishofen,15744,2007
651,16,Leimbach,5204,2007
652,17,Enge,8473,2007
653,18,Kreis 3,46108,2007
654,19,Alt-Wiedikon,15440,2007
655,20,Friesenberg,10296,2007
656,21,Sihlfeld,20372,2007
657,22,Kreis 4,27056,2007
658,23,Werd,3944,2007
659,24,Langstrasse,10310,2007
660,25,Hard,12802,2007
661,26,Kreis 5,12714,2007
662,27,Gewerbeschule,9706,2007
663,28,Escher Wyss,3008,2007
664,29,Kreis 6,30203,2007
665,30,Unterstrass,20243,2007
666,31,Oberstrass,9960,2007
667,32,Kreis 7,34843,2007
668,33,Fluntern,7455,2007
669,34,Hottingen,10284,2007
670,35,Hirslanden,6977,2007
671,36,Witikon,10127,2007
672,37,Kreis 8,15431,2007
673,38,Seefeld,4920,2007
